,x,y,time,ard
10845,[63165 63857],[19829 58748],1510693622376,['2.3783' '2.9289' '0.5994' '2.5000' '3.0000' '4.0000\n']
10846,[63200 63702],[18830 57780],1510693622377,['2.5044' '3.0441' '0.5994' '2.5000' '3.0000' '4.0000\n']
10847,[63266 63442],[17969 56232],1510693622382,['2.5793' '3.1299' '0.5992' '2.5000' '3.0000' '4.0000\n']
10848,[63258 63148],[17196 54788],1510693622414,['2.5471' '3.0853' '0.5994' '2.5000' '3.0000' '4.0000\n']
10849,[62903 63228],[54125 16462],1510693622415,['2.4583' '2.9718' '0.5994' '2.5000' '3.0000' '4.0000\n']
10850,[62741 63199],[54123 15795],1510693622415,['2.4122' '2.9027' '0.5992' '2.5000' '3.0000' '4.0000\n']
10851,[62698 63135],[54138 15235],1510693622415,['2.4505' '2.9302' '0.5994' '2.5000' '3.0000' '4.0000\n']
10852,[62792 63055],[53688 14812],1510693622454,['2.5349' '3.0176' '0.5992' '2.5000' '3.0000' '4.0000\n']
10853,[63027 62953],[14525 52885],1510693622456,['2.5779' '3.0667' '0.5994' '2.5000' '3.0000' '4.0000\n']
10854,[63058 63076],[14321 52233],1510693622457,['2.5444' '3.0408' '0.5994' '2.5000' '3.0000' '4.0000\n']
10855,[63071 63132],[14161 52139],1510693622462,['2.4673' '2.9747' '0.5992' '2.5000' '3.0000' '4.0000\n']
10856,[63095 63143],[14070 52498],1510693622494,['2.4338' '2.9397' '0.5992' '2.5000' '3.0000' '4.0000\n']
10857,[63121 63289],[14159 51689],1510693622496,['2.4613' '2.9639' '0.5994' '1.2000' '1.7000' '4.0000\n']
10858,[63173 63573],[14473 49437],1510693622497,['2.4643' '2.9672' '0.5993' '1.2000' '1.7000' '4.0000\n']
10859,[63177 63829],[14908 46761],1510693622510,['2.2590' '2.7430' '0.5992' '1.2000' '1.7000' '4.0000\n']
10860,[63206 64048],[15339 44653],1510693622535,['1.9703' '2.4593' '0.5994' '1.2000' '1.7000' '4.0000\n']
10861,[63230 64225],[15767 43596],1510693622540,['1.6893' '2.1864' '0.5992' '1.2000' '1.7000' '4.0000\n']
10862,[63158 64349],[16237 43514],1510693622540,['1.4506' '1.9801' '0.5994' '1.2000' '1.7000' '4.0000\n']
10863,[63107 64398],[16809 43995],1510693622541,['1.3603' '1.8777' '0.5992' '1.2000' '1.7000' '4.0000\n']
10864,[63067 64362],[17502 44718],1510693622574,['1.2810' '1.8387' '0.5992' '1.2000' '1.7000' '4.0000\n']
10865,[63125 64222],[18288 45484],1510693622574,['1.2827' '1.8403' '0.5994' '1.2000' '1.7000' '4.0000\n']
10866,[63091 64082],[19134 46238],1510693622575,['1.3469' '1.8669' '0.5992' '1.2000' '1.7000' '4.0000\n']
10867,[63090 63972],[20006 46974],1510693622575,['1.3535' '1.8611' '0.5992' '1.2000' '1.7000' '4.0000\n']
10868,[63086 63879],[20959 47755],1510693622614,['1.3013' '1.8237' '0.5994' '1.2000' '1.7000' '4.0000\n']
10869,[63080 63794],[22009 48631],1510693622616,['1.2830' '1.7868' '0.5994' '1.2000' '1.7000' '4.0000\n']
10870,[63089 63770],[23172 49633],1510693622617,['1.2659' '1.7735' '0.5992' '1.2000' '1.7000' '4.0000\n']
10871,[63144 63777],[24417 50752],1510693622622,['1.2522' '1.7519' '0.5992' '1.2000' '1.7000' '4.0000\n']
10872,[63201 63774],[25747 51999],1510693622661,['1.2417' '1.7380' '0.5994' '1.2000' '1.7000' '4.0000\n']
10873,[63239 63768],[27164 53354],1510693622662,['1.2384' '1.7302' '0.5994' '1.2000' '1.7000' '4.0000\n']
10874,[63254 63783],[28659 54793],1510693622662,['1.2368' '1.7258' '0.5992' '1.2000' '1.7000' '4.0000\n']
10875,[63254 63818],[30224 56283],1510693622662,['1.2339' '1.7226' '0.5994' '1.2000' '1.7000' '4.0000\n']
10876,[63235 63861],[31852 57823],1510693622694,['1.2306' '1.7181' '0.5994' '1.2000' '1.7000' '4.0000\n']
10877,[63216 63931],[33552 59087],1510693622695,['1.2263' '1.7168' '0.5992' '1.2000' '1.7000' '4.0000\n']
10878,[63178 64025],[35133 59001],1510693622695,['1.2215' '1.7134' '0.5993' '1.2000' '1.7000' '4.0000\n']
10879,[63084 64151],[36450 59117],1510693622696,['1.0158' '1.5001' '0.5992' '1.2000' '1.7000' '4.0000\n']
10880,[63039 64314],[37026 59134],1510693622735,['0.6814' '1.2211' '0.5993' '1.2000' '1.7000' '4.0000\n']
10881,[62977 64327],[36955 59069],1510693622735,['0.2687' '0.8911' '0.5992' '1.2000' '1.7000' '4.0000\n']
10882,[63092 64251],[36586 59043],1510693622736,['0.0632' '0.7794' '0.5947' '1.2000' '1.7000' '4.0000\n']
10883,[63118 64156],[36077 59025],1510693622736,['0.2183' '0.9355' '0.5894' '1.2000' '1.7000' '4.0000\n']
10884,[63089 64046],[35424 58975],1510693622775,['0.4836' '1.1352' '0.5894' '1.2000' '1.7000' '4.0000\n']
10885,[63095 63992],[34902 58966],1510693622775,['0.6708' '1.2683' '0.5909' '1.2000' '1.7000' '4.0000\n']
10886,[63169 63951],[34510 58971],1510693622776,['0.8257' '1.3758' '0.5946' '1.2000' '1.7000' '4.0000\n']
10887,[63189 63957],[34075 59047],1510693622776,['0.9300' '1.4497' '0.5986' '2.5000' '3.0000' '4.0000\n']
10888,[63159 63933],[33381 59054],1510693622815,['1.0341' '1.5693' '0.5994' '2.5000' '3.0000' '4.0000\n']
10889,[63123 63912],[32612 59033],1510693622815,['1.1388' '1.6568' '0.5994' '2.5000' '3.0000' '4.0000\n']
10890,[63086 63897],[31744 59023],1510693622816,['1.2600' '1.7502' '0.5994' '2.5000' '3.0000' '4.0000\n']
10891,[63108 63889],[30779 59022],1510693622816,['1.3950' '1.8608' '0.5994' '2.5000' '3.0000' '4.0000\n']
10892,[63125 63889],[29722 59024],1510693622862,['1.4610' '1.9697' '0.5994' '2.5000' '3.0000' '4.0000\n']
10893,[63143 63896],[28639 59021],1510693622863,['1.5957' '2.0800' '0.5994' '2.5000' '3.0000' '4.0000\n']
10894,[63142 63907],[27502 59023],1510693622863,['1.7034' '2.1952' '0.5992' '2.5000' '3.0000' '4.0000\n']
10895,[63119 63926],[26302 59026],1510693622863,['1.8074' '2.3088' '0.5992' '2.5000' '3.0000' '4.0000\n']
10896,[63108 63948],[25042 59024],1510693622895,['1.9164' '2.4253' '0.5994' '2.5000' '3.0000' '4.0000\n']
10897,[63114 63981],[23752 59024],1510693622897,['2.0256' '2.5404' '0.5992' '2.5000' '3.0000' '4.0000\n']
10898,[63121 64012],[22466 59015],1510693622898,['2.1389' '2.6694' '0.5994' '2.5000' '3.0000' '4.0000\n']
10899,[63129 64048],[21193 58992],1510693622907,['2.2589' '2.8000' '0.5992' '2.5000' '3.0000' '4.0000\n']
10900,[63151 64021],[20023 58817],1510693622935,['2.3860' '2.9223' '0.5994' '2.5000' '3.0000' '4.0000\n']
10901,[63199 63826],[19002 57986],1510693622935,['2.5103' '3.0543' '0.5992' '2.5000' '3.0000' '4.0000\n']
10902,[63251 63528],[18130 56506],1510693622936,['2.5840' '3.1315' '0.5994' '2.5000' '3.0000' '4.0000\n']
10903,[63247 63160],[17361 54998],1510693622936,['2.5441' '3.0808' '0.5994' '2.5000' '3.0000' '4.0000\n']
10904,[62822 63237],[54211 16626],1510693622975,['2.4552' '2.9656' '0.5992' '2.5000' '3.0000' '4.0000\n']
10905,[62571 63221],[54174 15936],1510693622975,['2.4137' '2.9007' '0.5992' '2.5000' '3.0000' '4.0000\n']
10906,[62482 63178],[54227 15350],1510693622976,['2.4583' '2.9332' '0.5992' '2.5000' '3.0000' '4.0000\n']
10907,[62584 63098],[53840 14904],1510693622976,['2.5425' '3.0225' '0.5994' '2.5000' '3.0000' '4.0000\n']
10908,[62840 63048],[53069 14621],1510693623015,['2.5827' '3.0667' '0.5992' '2.5000' '3.0000' '4.0000\n']
10909,[63093 63151],[14429 52352],1510693623015,['2.5428' '3.0330' '0.5994' '2.5000' '3.0000' '4.0000\n']
10910,[63102 63347],[14285 52206],1510693623016,['2.4658' '2.9685' '0.5993' '2.5000' '3.0000' '4.0000\n']
10911,[63106 63404],[14196 52533],1510693623016,['2.4288' '2.9411' '0.5992' '2.5000' '3.0000' '4.0000\n']
10912,[63137 63503],[14265 51731],1510693623062,['2.4582' '2.9747' '0.5992' '1.2000' '1.7000' '4.0000\n']
10913,[63163 63734],[14555 49481],1510693623063,['2.4645' '2.9806' '0.5992' '1.2000' '1.7000' '4.0000\n']
10914,[63177 63945],[14961 46830],1510693623063,['2.2633' '2.7522' '0.5994' '1.2000' '1.7000' '4.0000\n']
10915,[63195 64104],[15385 44750],1510693623064,['1.9734' '2.4685' '0.5994' '1.2000' '1.7000' '4.0000\n']
10916,[63219 64230],[15838 43708],1510693623095,['1.6942' '2.1910' '0.5994' '1.2000' '1.7000' '4.0000\n']
10917,[63195 64323],[16318 43579],1510693623097,['1.4685' '1.9789' '0.5994' '1.2000' '1.7000' '4.0000\n']
10918,[63152 64388],[16859 44015],1510693623098,['1.3535' '1.8748' '0.5994' '1.2000' '1.7000' '4.0000\n']
10919,[63111 64367],[17493 44723],1510693623102,['1.3402' '1.8516' '0.5992' '1.2000' '1.7000' '4.0000\n']
10920,[63072 64269],[18227 45493],1510693623135,['1.3307' '1.8545' '0.5994' '1.2000' '1.7000' '4.0000\n']
10921,[63087 64169],[19056 46263],1510693623135,['1.3258' '1.8594' '0.5994' '1.2000' '1.7000' '4.0000\n']
10922,[63115 64047],[19989 47045],1510693623136,['1.3284' '1.8516' '0.5992' '1.2000' '1.7000' '4.0000\n']
10923,[63139 63954],[21018 47844],1510693623136,['1.2845' '1.8103' '0.5992' '1.2000' '1.7000' '4.0000\n']
10924,[63148 63865],[22138 48719],1510693623175,['1.2737' '1.8099' '0.5992' '1.2000' '1.7000' '4.0000\n']
10925,[63152 63798],[23327 49736],1510693623177,['1.2627' '1.7734' '0.5994' '1.2000' '1.7000' '4.0000\n']
10926,[63157 63755],[24548 50877],1510693623177,['1.2522' '1.7568' '0.5992' '1.2000' '1.7000' '4.0000\n']
10927,[63163 63720],[25835 52118],1510693623182,['1.2444' '1.7412' '0.5993' '1.2000' '1.7000' '4.0000\n']
10928,[63173 63686],[27212 53454],1510693623215,['1.2398' '1.7336' '0.5993' '1.2000' '1.7000' '4.0000\n']
10929,[63183 63652],[28684 54876],1510693623217,['1.2398' '1.7273' '0.5992' '1.2000' '1.7000' '4.0000\n']
10930,[63163 63632],[30251 56377],1510693623218,['1.2368' '1.7227' '0.5992' '1.2000' '1.7000' '4.0000\n']
10931,[63134 63645],[31912 57940],1510693623226,['1.2325' '1.7190' '0.5992' '1.2000' '1.7000' '4.0000\n']
10932,[63145 63733],[33657 59085],1510693623262,['1.2247' '1.7150' '0.5994' '1.2000' '1.7000' '4.0000\n']
10933,[63187 63811],[35241 58996],1510693623263,['1.2199' '1.7123' '0.5994' '1.2000' '1.7000' '4.0000\n']
10934,[63099 63939],[36550 59111],1510693623263,['1.0113' '1.4941' '0.5994' '1.2000' '1.7000' '4.0000\n']
10935,[63068 64089],[37010 59120],1510693623264,['0.6784' '1.2209' '0.5992' '1.2000' '1.7000' '4.0000\n']
10936,[62991 64098],[36920 59061],1510693623295,['0.2595' '0.9048' '0.5994' '1.2000' '1.7000' '4.0000\n']
10937,[63121 64017],[36665 59046],1510693623296,['0.0478' '0.7850' '0.5946' '1.2000' '1.7000' '4.0000\n']
10938,[63159 63927],[36148 59018],1510693623297,['0.1888' '0.9311' '0.5909' '1.2000' '1.7000' '4.0000\n']
10939,[63180 63821],[35448 58962],1510693623297,['0.4575' '1.1168' '0.5910' '1.2000' '1.7000' '4.0000\n']
10940,[63184 63773],[34908 58954],1510693623336,['0.6525' '1.2438' '0.5917' '1.2000' '1.7000' '4.0000\n']
10941,[63192 63715],[34527 58952],1510693623337,['0.8106' '1.3559' '0.5948' '1.2000' '1.7000' '4.0000\n']
10942,[63102 63700],[34137 59042],1510693623338,['0.9163' '1.4418' '0.5979' '2.5000' '3.0000' '4.0000\n']
10943,[63187 63683],[33394 59040],1510693623346,['1.0473' '1.5674' '0.5986' '2.5000' '3.0000' '4.0000\n']
10944,[63117 63669],[32622 59015],1510693623375,['1.1328' '1.6283' '0.5986' '2.5000' '3.0000' '4.0000\n']
10945,[63145 63651],[31782 59011],1510693623377,['1.2600' '1.7473' '0.5985' '2.5000' '3.0000' '4.0000\n']
10946,[63165 63642],[30845 59007],1510693623379,['1.3961' '1.8611' '0.5986' '2.5000' '3.0000' '4.0000\n']
10947,[63161 63640],[29776 59007],1510693623384,['1.4809' '1.9743' '0.5986' '2.5000' '3.0000' '4.0000\n']
10948,[63140 63646],[28650 59008],1510693623415,['1.5957' '2.0865' '0.5994' '2.5000' '3.0000' '4.0000\n']
10949,[63138 63657],[27527 59009],1510693623416,['1.7079' '2.1998' '0.5986' '2.5000' '3.0000' '4.0000\n']
10950,[63144 63677],[26358 59010],1510693623417,['1.8137' '2.3150' '0.5985' '2.5000' '3.0000' '4.0000\n']
10951,[63138 63699],[25084 59009],1510693623417,['1.9197' '2.4318' '0.5986' '2.5000' '3.0000' '4.0000\n']
10952,[63137 63732],[23749 59011],1510693623462,['2.0316' '2.5512' '0.5986' '2.5000' '3.0000' '4.0000\n']
10953,[63149 63767],[22442 59007],1510693623463,['2.1467' '2.6802' '0.5985' '2.5000' '3.0000' '4.0000\n']
10954,[63153 63808],[21195 58983],1510693623463,['2.2662' '2.8121' '0.5986' '2.5000' '3.0000' '4.0000\n']
10955,[63174 63817],[20036 58833],1510693623464,['2.3937' '2.9319' '0.5986' '2.5000' '3.0000' '4.0000\n']
10956,[63221 63726],[19015 58009],1510693623495,['2.5150' '3.0624' '0.5985' '2.5000' '3.0000' '4.0000\n']
10957,[63263 63566],[18142 56516],1510693623495,['2.5824' '3.1299' '0.5986' '2.5000' '3.0000' '1.0000\n']
10958,[63252 63354],[17365 54966],1510693623496,['2.5503' '3.0824' '0.6162' '2.5000' '3.0000' '1.0000\n']
10959,[63228 63097],[16623 54164],1510693623497,['2.4966' '3.0101' '0.6499' '2.5000' '3.0000' '1.0000\n']
10960,[62857 63209],[54152 15939],1510693623535,['2.4612' '2.9564' '0.7136' '2.5000' '3.0000' '1.0000\n']
10961,[62698 63166],[54248 15361],1510693623535,['2.4581' '2.9410' '0.7933' '2.5000' '3.0000' '1.0000\n']
10962,[62683 63096],[53877 14915],1510693623536,['2.4842' '2.9577' '0.8833' '2.5000' '3.0000' '1.0000\n']
10963,[62809 63029],[53056 14614],1510693623536,['2.5150' '2.9914' '0.9861' '2.5000' '3.0000' '1.0000\n']
10964,[63064 62983],[14400 52293],1510693623575,['2.5336' '3.0130' '1.1004' '2.5000' '3.0000' '1.0000\n']
10965,[63077 63090],[14235 52140],1510693623577,['2.5352' '3.0160' '1.2292' '2.5000' '3.0000' '1.0000\n']
10966,[63105 63161],[14143 52510],1510693623578,['2.5163' '3.0101' '1.3749' '2.5000' '3.0000' '1.0000\n']
10967,[63117 63334],[14221 51721],1510693623585,['2.4966' '2.9980' '1.5515' '1.2000' '1.7000' '1.0000\n']
10968,[63200 63639],[14526 49469],1510693623615,['2.4461' '2.9489' '1.7257' '1.2000' '1.7000' '1.0000\n']
10969,[63198 63916],[14943 46796],1510693623615,['2.2817' '2.7692' '1.9008' '1.2000' '1.7000' '1.0000\n']
10970,[63235 64155],[15356 44670],1510693623616,['2.0623' '2.5529' '2.0806' '1.2000' '1.7000' '1.0000\n']
10971,[63240 64314],[15777 43625],1510693623616,['1.8307' '2.3304' '2.2504' '1.2000' '1.7000' '1.0000\n']
10972,[63165 64411],[16243 43518],1510693623655,['1.6170' '2.1199' '2.4045' '1.2000' '1.7000' '1.0000\n']
10973,[63119 64390],[16793 43975],1510693623656,['1.4469' '1.9697' '2.5319' '1.2000' '1.7000' '1.0000\n']
10974,[63047 64299],[17452 44715],1510693623657,['1.3563' '1.8928' '2.6383' '1.2000' '1.7000' '1.0000\n']
10975,[63124 64151],[18200 45501],1510693623657,['1.3304' '1.8653' '2.7158' '1.2000' '1.7000' '1.0000\n']
10976,[63120 64014],[19054 46199],1510693623695,['1.3305' '1.8578' '2.7589' '1.2000' '1.7000' '1.0000\n']
10977,[63124 63945],[19960 46891],1510693623695,['1.3315' '1.8503' '2.7657' '1.2000' '1.7000' '1.0000\n']
10978,[63118 63888],[20909 47666],1510693623696,['1.2855' '1.8093' '2.7634' '1.2000' '1.7000' '1.0000\n']
10979,[63125 63824],[21950 48555],1510693623696,['1.2830' '1.7969' '2.7597' '1.2000' '1.7000' '1.0000\n']
10980,[63134 63773],[23087 49567],1510693623735,['1.2676' '1.7965' '2.7705' '1.2000' '1.7000' '1.0000\n']
10981,[63146 63741],[24320 50681],1510693623736,['1.2568' '1.7599' '2.7896' '1.2000' '1.7000' '1.0000\n']
10982,[63158 63707],[25642 51914],1510693623736,['1.2460' '1.7502' '2.8080' '1.2000' '1.7000' '1.0000\n']
10983,[63172 63677],[27057 53260],1510693623736,['1.2400' '1.7393' '2.8188' '1.2000' '1.7000' '1.0000\n']
10984,[63189 63650],[28556 54706],1510693623775,['1.2385' '1.7313' '2.8256' '1.2000' '1.7000' '1.0000\n']
10985,[63207 63671],[30139 56211],1510693623775,['1.2385' '1.7258' '2.8325' '1.2000' '1.7000' '1.0000\n']
10986,[63212 63706],[31811 57787],1510693623775,['1.2368' '1.7225' '2.8439' '1.2000' '1.7000' '1.0000\n']
10987,[63205 63793],[33572 59093],1510693623776,['1.2309' '1.7183' '2.8493' '1.2000' '1.7000' '1.0000\n']
