,ard,time
6426,"0.2458,0.9520,3
",65.254999876
6427,"0.4956,1.1395,3
",65.2649998665
6428,"0.6739,1.2466,3
",65.2749998569
6429,"0.8225,1.3710,3
",65.2849998474
6430,"0.9253,1.4450,3
",65.2949998379
6431,"1.0604,1.5645,3
",65.3049998283
6432,"1.1357,1.6395,3
",65.3149998188
6433,"1.2568,1.7472,3
",65.3249998093
6434,"1.3703,1.8568,3
",65.3349997997
6435,"1.4806,1.9697,3
",65.3449997902
6436,"1.5909,2.0814,3
",65.3559999466
6437,"1.7018,2.1985,3
",65.3650000095
6438,"1.8093,2.3114,3
",65.375
6439,"1.9181,2.4299,3
",65.3849999905
6440,"2.0284,2.5510,3
",65.3949999809
6441,"2.1420,2.6787,3
",65.4049999714
6442,"2.2618,2.8089,3
",65.4149999619
6443,"2.3861,2.9300,3
",65.4249999523
6444,"2.5121,3.0589,3
",65.4359998703
6445,"2.5841,3.1296,3
",65.4449999332
6446,"2.5487,3.0776,3
",65.4549999237
6447,"2.4630,2.9654,3
",65.4649999142
6448,"2.4244,2.9025,3
",65.4749999046
6449,"2.4643,2.9303,3
",65.4849998951
6450,"2.5396,3.0115,3
",65.4949998856
6451,"2.5812,3.0560,3
",65.5059998035
6452,"2.5504,3.0347,3
",65.5149998665
6453,"2.4810,2.9745,3
",65.5249998569
6454,"2.4400,2.9470,3
",65.5349998474
6455,"2.4521,2.9698,3
",65.5449998379
6456,"2.4519,2.9716,3
",65.5549998283
6457,"2.2526,2.7474,3
",65.5649998188
6458,"1.9656,2.4682,3
",65.5749998093
6459,"1.6816,2.2015,3
",65.5849997997
6460,"1.4485,1.9957,3
",65.5949997902
6461,"1.3169,1.8867,3
",65.6050000191
6462,"1.2754,1.8574,3
",65.6150000095
6463,"1.2780,1.8575,3
",65.625
6464,"1.3000,1.8578,3
",65.6349999905
6465,"1.3104,1.8404,3
",65.6449999809
6466,"1.3075,1.8147,3
",65.6549999714
6467,"1.2846,1.7872,3
",65.6649999619
6468,"1.2675,1.7609,3
",65.6749999523
6469,"1.2505,1.7436,3
",65.6849999428
6470,"1.2401,1.7346,3
",65.6949999332
6471,"1.2355,1.7300,3
",65.7049999237
6472,"1.2339,1.7258,3
",65.7149999142
6473,"1.2338,1.7229,3
",65.7249999046
6474,"1.2325,1.7192,3
",65.7349998951
6475,"1.2309,1.7166,3
",65.7449998856
6476,"1.2276,1.7135,3
",65.754999876
6477,"0.9515,1.4377,3
",65.7649998665
6478,"0.6278,1.1597,3
",65.7749998569
