,x,y,time,ard
97,[61169 61262],[58208 60602],1509856412301,['-0.2404' '2.1003' '-2.0345' '2.5000' '3.0000' '-1.7792\n']
98,[61170 61263],[58208 60602],1509856412339,['-0.2712' '2.0954' '-2.0276' '2.5000' '3.0000' '-1.7792\n']
99,[61169 61263],[58208 60601],1509856412339,['-0.3118' '2.0845' '-2.0214' '2.5000' '3.0000' '-1.7792\n']
100,[61169 61262],[58208 60602],1509856412340,['-0.3179' '2.0866' '-2.0160' '2.5000' '3.0000' '-1.7792\n']
101,[61168 61263],[58208 60601],1509856412343,['-0.3183' '2.0970' '-2.0145' '2.5000' '3.0000' '-1.7792\n']
102,[61169 61262],[58207 60602],1509856412379,['-0.3186' '2.1075' '-2.0192' '2.5000' '3.0000' '-1.7792\n']
103,[61170 61263],[58207 60602],1509856412381,['-0.3190' '2.1245' '-2.0284' '2.5000' '3.0000' '-1.7792\n']
104,[61169 61264],[58208 60603],1509856412382,['-0.3147' '2.1401' '-2.0352' '2.5000' '3.0000' '-1.7792\n']
105,[61170 61262],[58208 60601],1509856412388,['-0.3098' '2.1446' '-2.0430' '2.5000' '3.0000' '-1.7792\n']
106,[61168 61262],[58207 60602],1509856412427,['-0.3094' '2.1446' '-2.0445' '2.5000' '3.0000' '-1.7792\n']
107,[61171 61262],[58208 60602],1509856412427,['-0.3114' '2.1446' '-2.0445' '2.5000' '3.0000' '-1.7792\n']
108,[61169 61263],[58207 60602],1509856412428,['-0.3114' '2.1479' '-2.0437' '2.5000' '3.0000' '-1.7792\n']
109,[61168 61263],[58209 60602],1509856412428,['-0.3114' '2.1475' '-2.0437' '2.5000' '3.0000' '-1.7792\n']
110,[61169 61263],[58206 60602],1509856412458,['-0.3114' '2.1475' '-2.0459' '1.2000' '1.7000' '-1.7792\n']
111,[61168 61262],[58207 60601],1509856412459,['-0.3186' '2.1001' '-2.0498' '1.2000' '1.7000' '-1.7792\n']
112,[61169 61262],[58207 60602],1509856412460,['-0.3203' '2.0615' '-2.0422' '1.2000' '1.7000' '-1.7792\n']
113,[61170 61263],[58207 60602],1509856412460,['-0.3206' '2.0248' '-2.0223' '1.2000' '1.7000' '-1.7792\n']
114,[61168 61262],[58209 60602],1509856412499,['-0.3206' '1.9866' '-1.9917' '1.2000' '1.7000' '-1.7792\n']
115,[61170 61263],[58207 60602],1509856412499,['-0.3206' '1.9466' '-1.9554' '1.2000' '1.7000' '-1.7792\n']
