,x,y,time,ard
189,[50266 50583 61485],[50472 61035 61240],1509850216827,[ 0.0108  0.6381  2.5     3.    ]
190,[50265 50582 61486],[50475 61035 61240],1509850216827,[ 0.0108  0.6378  2.5     3.    ]
191,[50265 50583 61486],[50473 61034 61240],1509850216843,[ 0.0111  0.6378  2.5     3.    ]
192,[50265 50582 61486],[50474 61035 61240],1509850216843,[ 0.0111  0.6381  2.5     3.    ]
193,[50265 50590 61486],[50474 61042 61240],1509850216859,[ 0.0111  0.6378  2.5     3.    ]
194,[50266 50583 61485],[50474 61036 61240],1509850216875,[ 0.0111  0.6378  2.5     3.    ]
195,[50265 50591 61486],[50473 61041 61240],1509850216875,[ 0.0111  0.6381  2.5     3.    ]
196,[50266 50582 61485],[50474 61036 61240],1509850216893,[ 0.0108  0.6378  2.5     3.    ]
197,[50266 50582 61486],[50474 61035 61240],1509850216908,[ 0.0108  0.6378  2.5     3.    ]
198,[50266 50591 61486],[50473 61042 61240],1509850216909,[ 0.0108  0.6378  2.5     3.    ]
199,[50265 50583 61485],[50474 61035 61240],1509850216924,[ 0.0111  0.6381  2.5     3.    ]
200,[50264 50581 61486],[50473 61036 61239],1509850216925,[ 0.0111  0.6378  2.5     3.    ]
201,[50264 50591 61485],[50473 61040 61239],1509850216940,[ 0.0111  0.6382  2.5     3.    ]
202,[50264 50582 61485],[50474 61035 61239],1509850216956,[ 0.0111  0.6381  2.5     3.    ]
203,[50266 50590 61486],[50473 61043 61240],1509850216957,[ 0.0111  0.6378  2.5     3.    ]
204,[50265 50583 61485],[50473 61034 61240],1509850216972,[ 0.0108  0.6378  2.5     3.    ]
205,[50265 50583 61486],[50474 61035 61240],1509850216988,[ 0.0111  0.6378  2.5     3.    ]
206,[50266 50582 61484],[50474 61036 61240],1509850216989,[ 0.0111  0.6378  2.5     3.    ]
207,[50265 50582 61486],[50473 61035 61240],1509850217004,[ 0.0111  0.6378  2.5     3.    ]
208,[50266 50590 61486],[50474 61042 61240],1509850217005,[ 0.0108  0.6378  2.5     3.    ]
