,x,y,time
157,[64273 64652 76710],[67659 55021 68319],1509232142420
158,[64272 64652 76710],[67660 55022 68318],1509232142430
159,[64272 64652 76711],[67659 55022 68319],1509232142440
160,[64274 64651 76711],[67660 55022 68319],1509232142450
161,[64273 64651 76711],[67660 55022 68318],1509232142460
162,[64271 64651 76710],[67660 55022 68319],1509232142472
163,[64272 64651 76710],[67660 55022 68318],1509232142480
164,[64271 64652 76710],[67660 55022 68319],1509232142490
165,[64272 64652 76710],[67660 55022 68319],1509232142500
166,[64273 64651 76709],[67659 55021 68318],1509232142510
167,[64272 64651 76709],[67659 55022 68319],1509232142520
168,[64270 64651 76709],[67660 55022 68319],1509232142530
169,[64271 64651 76710],[67659 55022 68319],1509232142541
170,[64270 64651 76710],[67661 55022 68319],1509232142550
171,[64273 64651 76709],[67661 55023 68318],1509232142560
172,[64272 64651 76709],[67661 55022 68319],1509232142570
173,[64271 64651 76709],[67660 55022 68319],1509232142580
174,[64272 64651 76709],[67660 55022 68318],1509232142590
175,[64272 64651 76709],[67660 55022 68319],1509232142600
176,[64272 64651 76709],[67661 55022 68319],1509232142610
177,[64272 64651 76710],[67660 55022 68319],1509232142620
178,[64273 64651 76709],[67660 55022 68320],1509232142630
179,[64272 64651 76708],[67660 55022 68320],1509232142640
180,[64273 64651 76709],[67660 55022 68320],1509232142650
181,[64274 64651 76710],[67659 55022 68319],1509232142660
182,[64275 64652 76708],[67658 55022 68319],1509232142670
183,[64274 64651 76709],[67658 55022 68318],1509232142680
184,[64273 64653 76710],[67659 55021 68319],1509232142690
185,[64274 64652 76709],[67659 55022 68317],1509232142700
186,[64274 64652 76712],[67659 55021 68317],1509232142710
187,[64272 64652 76710],[67661 55021 68318],1509232142720
188,[64272 64653 76711],[67658 55021 68319],1509232142731
189,[64274 64653 76710],[67659 55021 68318],1509232142740
190,[64274 64653 76710],[67659 55021 68319],1509232142750
191,[64273 64652 76711],[67658 55020 68317],1509232142760
192,[64272 64652 76711],[67659 55021 68318],1509232142770
193,[64272 64653 76710],[67658 55021 68318],1509232142780
