,x,y,time
142,[63010 72864 73330 82885],[43968 35857 69046 44243],1509129412590
143,[63011 72862 73330 82885],[43968 35856 69046 44242],1509129412601
144,[63006 72860 73330 82882],[43970 35855 69046 44241],1509129412610
145,[63007 72860 73327 82881],[43969 35856 69047 44241],1509129412620
146,[63009 72861 73329 82882],[43968 35856 69046 44243],1509129412631
147,[63009 72861 73331 82890],[43967 35856 69046 44241],1509129412641
148,[63007 72862 73330 82882],[43970 35856 69046 44242],1509129412650
149,[63009 72862 73342 82881],[43968 35857 69057 44240],1509129412660
150,[63012 72863 73328 82886],[43968 35857 69046 44242],1509129412671
151,[63010 72862 73341 82890],[43967 35856 69057 44240],1509129412680
152,[63008 72860 73330 82881],[43969 35856 69047 44241],1509129412690
153,[63009 72860 73331 82879],[43969 35856 69048 44240],1509129412700
154,[63008 72862 73331 82882],[43968 35857 69047 44242],1509129412710
155,[63010 72862 73342 82885],[43968 35856 69059 44243],1509129412720
156,[63007 72861 73343 82882],[43970 35856 69060 44242],1509129412730
157,[63008 72861 73331 82882],[43968 35856 69046 44241],1509129412741
158,[63009 72862 73329 82887],[43969 35856 69046 44242],1509129412750
159,[63010 72862 73329 82883],[43968 35856 69045 44241],1509129412760
160,[63008 72861 73330 82886],[43970 35857 69047 44240],1509129412770
161,[63007 72860 73331 82883],[43969 35857 69048 44240],1509129412780
162,[63010 72861 73329 82881],[43969 35857 69048 44243],1509129412790
163,[63012 72862 73341 82882],[43969 35858 69060 44244],1509129412800
164,[63009 72861 73330 82881],[43970 35857 69048 44241],1509129412811
165,[63007 72861 73332 82882],[43969 35856 69046 44241],1509129412821
166,[63008 72861 73340 82885],[43969 35857 69061 44241],1509129412830
167,[63011 72862 73330 82884],[43968 35857 69047 44242],1509129412840
168,[63006 72861 73331 82887],[43969 35856 69047 44240],1509129412850
169,[63008 72860 73330 82889],[43968 35856 69046 44240],1509129412860
170,[63008 72862 73342 82882],[43969 35856 69058 44242],1509129412871
171,[63010 72862 73330 82883],[43967 35856 69046 44241],1509129412881
172,[63010 72862 73330 82884],[43968 35855 69044 44241],1509129412890
173,[63009 72860 73331 82884],[43967 35856 69045 44240],1509129412900
174,[63010 72862 73327 82883],[43967 35855 69046 44241],1509129412910
175,[63012 72861 73330 82885],[43966 35855 69045 44240],1509129412921
176,[63008 72862 73329 82887],[43967 35854 69046 44241],1509129412930
177,[63009 72860 73330 82882],[43966 35855 69046 44239],1509129412940
178,[63010 72860 73330 82886],[43968 35856 69049 44240],1509129412951
179,[63011 72863 73328 82895],[43967 35856 69047 44238],1509129412961
180,[63009 72863 73340 82884],[43969 35855 69060 44241],1509129412970
181,[63010 72862 73330 82881],[43969 35856 69047 44242],1509129412980
182,[63007 72861 73330 82887],[43970 35856 69049 44241],1509129412990
183,[63010 72861 73330 82889],[43969 35857 69048 44241],1509129413001
184,[63009 72861 73329 82883],[43970 35857 69049 44244],1509129413010
185,[63010 72861 73331 82882],[43969 35857 69049 44241],1509129413020
186,[63010 72861 73330 82883],[43970 35858 69049 44243],1509129413030
187,[63011 72862 73330 82882],[43969 35858 69049 44243],1509129413040
188,[63010 72862 73331 82885],[43972 35858 69049 44244],1509129413050
189,[63010 72861 73342 82884],[43970 35857 69062 44243],1509129413061
190,[63007 72861 73341 82884],[43972 35858 69061 44243],1509129413070
191,[63008 72860 73329 82882],[43970 35858 69049 44244],1509129413080
192,[63009 72862 73330 82882],[43971 35858 69049 44243],1509129413090
193,[63011 72861 73329 82883],[43970 35859 69047 44242],1509129413101
194,[63008 72862 73329 82881],[43970 35858 69050 44243],1509129413111
195,[63010 72862 73330 82882],[43969 35857 69048 44242],1509129413121
196,[63009 72863 73329 82890],[43970 35856 69048 44241],1509129413131
197,[63008 72862 73330 82883],[43969 35856 69048 44243],1509129413140
198,[63005 72861 73332 82880],[43970 35857 69048 44243],1509129413150
199,[63009 72861 73330 82884],[43969 35857 69049 44242],1509129413160
200,[63008 72862 73329 82883],[43970 35857 69048 44243],1509129413170
201,[63009 72862 73329 82882],[43968 35856 69047 44241],1509129413180
202,[63009 72862 73340 82886],[43968 35856 69060 44242],1509129413190
203,[63009 72862 73329 82886],[43969 35856 69047 44239],1509129413200
204,[63009 72861 73330 82891],[43968 35855 69046 44240],1509129413210
205,[63009 72861 73340 82881],[43968 35856 69060 44241],1509129413220
206,[63010 72861 73328 82881],[43968 35856 69047 44241],1509129413230
207,[63008 72860 73341 82883],[43969 35857 69061 44241],1509129413240
208,[63009 72861 73342 82883],[43969 35857 69060 44241],1509129413251
209,[63009 72861 73331 82884],[43968 35857 69046 44240],1509129413261
210,[63007 72862 73331 82884],[43968 35856 69048 44242],1509129413271
211,[63010 72862 73328 82885],[43968 35857 69047 44241],1509129413280
212,[63010 72861 73343 82886],[43969 35857 69063 44241],1509129413290
213,[63009 72861 73340 82884],[43969 35856 69059 44242],1509129413301
214,[63010 72861 73330 82883],[43969 35856 69047 44243],1509129413311
215,[63008 72861 73340 82883],[43968 35856 69062 44241],1509129413320
216,[63008 72861 73329 82886],[43969 35855 69045 44240],1509129413330
217,[63010 72863 73331 82891],[43968 35855 69045 44239],1509129413341
218,[63010 72862 73330 82881],[43967 35855 69047 44243],1509129413354
219,[63010 72862 73330 82888],[43968 35856 69047 44239],1509129413360
220,[63008 72860 73331 82882],[43969 35856 69045 44241],1509129413370
221,[63010 72862 73330 82887],[43967 35855 69047 44241],1509129413380
222,[63009 72863 73329 82883],[43968 35855 69048 44242],1509129413394
223,[63011 72861 73342 82890],[43967 35855 69057 44238],1509129413400
224,[63007 72861 73330 82882],[43969 35855 69047 44242],1509129413411
225,[63008 72862 73342 82881],[43968 35855 69060 44241],1509129413421
226,[63009 72863 73339 82884],[43968 35855 69061 44242],1509129413431
227,[63009 72862 73328 82885],[43968 35856 69047 44242],1509129413441
228,[63008 72862 73330 82883],[43970 35856 69047 44242],1509129413450
229,[63009 72861 73329 82888],[43968 35856 69051 44240],1509129413460
230,[63011 73485 72862 73329 82884],[43969 67507 35857 69049 44243],1509129413470
231,[63009 72861 73340 82883],[43968 35857 69060 44242],1509129413480
232,[63008 72861 73329 82884],[43970 35857 69049 44242],1509129413491
233,[62745 72844 73351 83167],[44192 35806 69143 44523],1509129413501
234,[62597 73449 72878 73310 83446],[44188 67561 35452 69102 44635],1509129413511
235,[62209 72899 73295 83887],[44346 34945 69111 44914],1509129413520
236,[61761 72363 73329 72903 73258 84282],[44539 67983 67538 34296 69106 45193],1509129413531
237,[61355 72904 73228 84667],[44718 33462 69093 45464],1509129413541
238,[61053 73243 72963 73213 85000],[44846 67536 32480 69097 45700],1509129413551
239,[60849 73232 73004 73202 85204],[44928 67539 31450 69095 45846],1509129413561
240,[60730 73026 73182 85258],[44986 30384 69083 45903],1509129413570
241,[60718 73039 73179 85222],[44990 29251 69080 45881],1509129413580
242,[60825 72276 73089 73185 85109],[44926 67995 28031 69079 45787],1509129413591
243,[61029 73254 73152 73215 84905],[44825 67525 26783 69089 45618],1509129413601
244,[61319 73173 73239 84596],[44691 25545 69099 45394],1509129413611
245,[61723 73186 73259 84198],[44518 24273 69090 45113],1509129413622
246,[62278 73418 73252 73301 83698],[44281 67546 22907 69098 44773],1509129413631
247,[62994 73303 73349 83076],[43980 21463 69096 44356],1509129413640
248,[63862 73355 73400 82309],[43645 20015 69080 43895],1509129413650
249,[64888 73374 73449 81397],[43282 18604 69054 43399],1509129413660
250,[66037 73416 73529 80394],[42954 17262 68999 42878],1509129413670
251,[66679 73474 73393 79806],[42191 16078 68455 42122],1509129413680
252,[66111 73054 73561 80274],[40772 66975 15085 40880],1509129413690
253,[65128 72602 73619 81019],[39073 65171 14252 39543],1509129413700
254,[64756 72072 73643 81173],[37916 64057 13517 38701],1509129413711
255,[65167 71667 73691 80527],[37664 64021 12846 38475],1509129413721
256,[65887 71540 73618 79701],[37755 64288 12285 38399],1509129413731
257,[66012 71776 73525 79597],[37591 64076 11906 38036],1509129413740
258,[65128 72270 73504 80731],[36696 62798 11739 37080],1509129413750
259,[63076 73051 73499 83175],[34381 59512 11822 34742],1509129413760
260,[61696 73535 73762 84932],[31555 12005 55784 31782],1509129413770
261,[61311 73589 74278 85615],[29497 12213 53295 29453],1509129413780
262,[61336 73636 74594 85799],[28771 12453 52408 28482],1509129413790
263,[61405 73636 74709 85867],[28959 12781 52531 28559],1509129413801
264,[61371 73620 74588 85816],[29356 13259 52900 28974],1509129413810
265,[61332 73572 74296 85739],[29441 13853 53125 29307],1509129413820
