,x,y,time
182,[66078 75730 76740 86126],[43208 35241 69093 43506],1509230777730
183,[66078 75727 76737 86125],[43207 35239 69093 43506],1509230777744
184,[66078 75732 76739 86132],[43208 35238 69094 43509],1509230777750
185,[66078 75730 76739 86132],[43206 35234 69092 43510],1509230777760
186,[66075 75731 76737 86133],[43208 35235 69093 43510],1509230777770
187,[66076 75730 76739 86134],[43208 35234 69092 43510],1509230777780
188,[66077 75734 76739 86135],[43207 35234 69092 43511],1509230777790
189,[66078 75733 76741 86135],[43207 35235 69092 43510],1509230777800
190,[66078 75732 76739 86133],[43208 35236 69093 43509],1509230777810
191,[66077 75727 76736 86127],[43207 35236 69094 43507],1509230777820
192,[66074 75727 76737 86128],[43207 35236 69093 43508],1509230777830
193,[66077 75731 76737 86134],[43207 35236 69094 43510],1509230777840
194,[66079 75734 76738 86136],[43208 35235 69093 43511],1509230777850
195,[66077 75732 76737 86134],[43206 35234 69093 43509],1509230777860
196,[66076 75730 76740 86132],[43208 35234 69091 43509],1509230777870
197,[66075 75732 76738 86134],[43208 35234 69092 43509],1509230777880
198,[66077 75732 76738 86136],[43208 35236 69094 43510],1509230777891
199,[66078 75731 76739 86132],[43205 35236 69092 43509],1509230777900
200,[66074 75728 76741 86129],[43208 35236 69091 43509],1509230777910
201,[66075 75729 76740 86131],[43208 35234 69092 43509],1509230777920
202,[66076 75735 76739 86136],[43208 35234 69093 43512],1509230777930
203,[66075 75733 76737 86137],[43207 35233 69093 43512],1509230777940
204,[66072 75730 76737 86136],[43209 35232 69093 43511],1509230777950
205,[66071 75730 76739 86134],[43210 35233 69092 43509],1509230777960
206,[66078 75729 76742 86132],[43206 35234 69091 43506],1509230777970
207,[66083 75732 76742 86131],[43205 35237 69092 43507],1509230777980
208,[66076 75729 76740 86127],[43208 35238 69094 43507],1509230777990
209,[66073 75726 76737 86127],[43210 35238 69095 43508],1509230778001
210,[66075 75731 76737 86134],[43208 35235 69094 43510],1509230778011
211,[66077 75734 76737 86139],[43207 35232 69093 43512],1509230778020
212,[66072 75733 76739 86137],[43209 35231 69093 43512],1509230778030
213,[66072 75728 76737 86133],[43208 35232 69092 43509],1509230778040
214,[66073 75729 76737 86134],[43208 35233 69093 43510],1509230778050
215,[66077 75731 76739 86135],[43207 35234 69093 43510],1509230778060
216,[66079 75730 76741 86133],[43207 35237 69093 43507],1509230778070
217,[66081 75730 76740 86127],[43205 35239 69093 43506],1509230778080
218,[66078 75730 76741 86126],[43209 35240 69093 43507],1509230778090
219,[66080 75730 76735 86129],[43207 35237 69094 43509],1509230778100
220,[66081 75734 76739 86136],[43206 35236 69092 43511],1509230778110
221,[66076 75732 76740 86135],[43208 35234 69093 43510],1509230778120
222,[66074 75728 76741 86132],[43209 35234 69092 43509],1509230778130
223,[66076 75726 76737 86130],[43207 35235 69093 43508],1509230778140
224,[66078 75731 76737 86133],[43208 35235 69094 43509],1509230778150
225,[66078 75732 76737 86133],[43206 35235 69093 43510],1509230778160
226,[66076 75731 76742 86133],[43209 35236 69092 43510],1509230778170
227,[66078 75730 76737 86132],[43207 35236 69093 43508],1509230778181
228,[66078 75733 76738 86134],[43207 35236 69094 43510],1509230778190
229,[66078 75730 76738 86134],[43207 35236 69093 43509],1509230778200
230,[66077 75729 76737 86131],[43207 35235 69094 43507],1509230778210
231,[66075 75729 76737 86130],[43207 35236 69094 43508],1509230778220
232,[66076 75730 76738 86134],[43209 35236 69094 43510],1509230778230
233,[66079 75731 76739 86135],[43207 35236 69093 43509],1509230778240
234,[66077 75732 76737 86132],[43208 35235 69093 43509],1509230778251
235,[66075 75730 76737 86132],[43207 35235 69093 43509],1509230778262
236,[66076 75732 76740 86135],[43208 35235 69092 43510],1509230778270
237,[66077 75730 76740 86134],[43206 35235 69092 43509],1509230778280
238,[66076 75729 76740 86131],[43207 35236 69094 43509],1509230778290
239,[66075 75728 76739 86130],[43208 35236 69094 43509],1509230778300
240,[66075 75729 76736 86134],[43207 35235 69094 43509],1509230778310
241,[66076 75732 76738 86135],[43207 35234 69093 43509],1509230778320
242,[66077 75732 76740 86135],[43208 35235 69094 43510],1509230778330
243,[66077 75730 76738 86132],[43206 35236 69093 43509],1509230778340
244,[66075 75729 76738 86132],[43207 35235 69094 43509],1509230778350
245,[66076 75731 76738 86134],[43207 35235 69093 43509],1509230778362
246,[66076 75731 76737 86134],[43208 35235 69095 43510],1509230778370
247,[66077 75728 76738 86133],[43206 35235 69093 43508],1509230778380
248,[66075 75729 76738 86132],[43207 35235 69094 43508],1509230778390
249,[66076 75731 76738 86132],[43207 35235 69093 43510],1509230778400
250,[66080 75732 76739 86134],[43206 35237 69095 43508],1509230778410
251,[66082 75733 76738 86129],[43204 35238 69094 43507],1509230778420
252,[66077 75729 76740 86126],[43209 35238 69094 43507],1509230778430
253,[66075 75726 76743 86128],[43209 35237 69092 43507],1509230778440
254,[66078 75730 76738 86133],[43206 35236 69094 43510],1509230778450
255,[66076 75733 76738 86135],[43207 35234 69092 43510],1509230778460
256,[66077 75728 76742 86130],[43207 35235 69093 43506],1509230778470
257,[66080 75729 76738 86128],[43205 35237 69093 43505],1509230778480
258,[66078 75732 76739 86129],[43207 35240 69094 43508],1509230778490
259,[66081 75731 76738 86131],[43205 35238 69093 43508],1509230778500
260,[66078 75731 76739 86131],[43207 35236 69093 43509],1509230778510
261,[66077 75729 76737 86131],[43207 35236 69094 43509],1509230778520
262,[66075 75730 76739 86132],[43207 35235 69093 43508],1509230778530
263,[66075 75729 76740 86134],[43207 35234 69093 43509],1509230778540
264,[66076 75732 76741 86136],[43207 35235 69094 43510],1509230778550
265,[66078 75731 76741 86132],[43206 35236 69092 43509],1509230778560
266,[66077 75731 76739 86132],[43206 35236 69093 43509],1509230778570
267,[66077 75730 76740 86132],[43207 35235 69092 43508],1509230778580
268,[66077 75732 76740 86134],[43208 35236 69093 43510],1509230778590
269,[66078 75730 76739 86133],[43206 35236 69094 43508],1509230778600
270,[66075 75728 76738 86130],[43207 35235 69093 43508],1509230778610
271,[66076 75731 76739 86132],[43207 35235 69093 43509],1509230778620
272,[66078 75733 76741 86135],[43208 35236 69094 43511],1509230778631
273,[66080 75731 76739 86134],[43206 35236 69093 43509],1509230778640
274,[65840 75694 76738 86484],[43414 35139 69180 43833],1509230778650
275,[65571 75801 76717 86838],[43486 34728 69160 44018],1509230778660
276,[65180 75785 76699 87218],[43630 34217 69131 44252],1509230778670
277,[64749 75783 76678 87616],[43808 33548 69110 44532],1509230778680
278,[64366 75800 76659 87998],[43972 32689 69101 44806],1509230778690
279,[64065 75863 76644 88279],[44102 31723 69098 45017],1509230778700
280,[63866 75887 76634 88453],[44191 30723 69084 45151],1509230778710
281,[63755 75905 76628 88509],[44240 29681 69075 45207],1509230778720
282,[63743 75932 76626 88482],[44239 28552 69072 45188],1509230778731
283,[63834 75996 76634 88373],[44187 27357 69074 45094],1509230778740
284,[64023 76039 76643 88175],[44096 26156 69081 44938],1509230778750
285,[64303 76078 76663 87888],[43966 24967 69085 44722],1509230778761
286,[64672 76109 76684 87515],[43807 23743 69095 44451],1509230778771
287,[65147 76137 76704 87044],[43604 22446 69115 44128],1509230778780
288,[65784 76164 76737 86475],[43352 21082 69138 43754],1509230778790
289,[66585 76251 76766 85792],[43031 19687 69145 43316],1509230778800
290,[67541 76292 76794 84960],[42690 18296 69149 42843],1509230778811
291,[68635 76318 76820 84002],[42319 16941 69128 42333],1509230778820
292,[69564 76399 76749 83150],[41836 15699 68887 41722],1509230778830
293,[69428 76468 76486 83269],[40653 67745 14657 40662],1509230778841
294,[68444 76035 76571 84080],[38955 65893 13801 39286],1509230778850
295,[67812 75405 76591 84424],[37528 64499 13048 38273],1509230778860
296,[68100 74843 76588 83825],[37138 64344 12335 37997],1509230778870
