,x,y,time
151,[67980 75607 76894 83324],[42060 36395 68671 41672],1509232338637
152,[66986 75637 76838 84843],[42326 35591 68633 42227],1509232338647
153,[66349 75685 76805 85958],[42521 34899 68605 42740],1509232338657
154,[65869 75824 76773 86615],[42674 34359 68582 43102],1509232338667
155,[65491 75824 76759 86981],[42821 33949 68559 43332],1509232338677
156,[65226 75819 76745 87222],[42923 33621 68544 43483],1509232338687
157,[65048 75814 76740 87396],[42985 33321 68536 43589],1509232338698
158,[64936 75807 76732 87506],[43020 33110 68537 43651],1509232338707
159,[64894 75797 76735 87543],[43029 33017 68540 43665],1509232338717
160,[64931 75764 76740 87521],[43021 33070 68548 43653],1509232338727
161,[65019 75777 76741 87419],[42994 33263 68556 43613],1509232338737
162,[65154 75786 76745 87251],[42949 33529 68568 43527],1509232338747
163,[65335 75791 76758 87032],[42886 33836 68576 43400],1509232338757
164,[65556 75770 76765 86766],[42805 34152 68592 43247],1509232338767
165,[65797 75740 76776 86469],[42721 34448 68610 43077],1509232338777
166,[66049 75700 76789 86149],[42630 34709 68625 42891],1509232338787
167,[66330 75654 76803 85883],[42535 34952 68638 42743],1509232338797
168,[66576 75690 76813 85623],[42450 35178 68646 42612],1509232338807
169,[66733 75691 76818 85425],[42396 35328 68650 42515],1509232338817
170,[66777 75671 76821 85343],[42380 35360 68652 42474],1509232338827
171,[66747 75658 76819 85361],[42387 35324 68649 42475],1509232338837
172,[66689 75663 76815 85448],[42401 35270 68641 42514],1509232338847
173,[66602 75680 76810 85574],[42430 35202 68635 42578],1509232338857
174,[66481 75685 76808 85724],[42469 35089 68629 42650],1509232338867
175,[66348 75686 76802 85887],[42513 34952 68625 42731],1509232338877
176,[66234 75686 76797 86017],[42552 34839 68620 42799],1509232338887
177,[66147 75696 76788 86125],[42582 34763 68616 42858],1509232338897
178,[66069 75703 76788 86215],[42612 34691 68613 42912],1509232338907
179,[66005 75704 76784 86282],[42632 34616 68611 42942],1509232338917
180,[65961 75696 76781 86329],[42649 34564 68613 42969],1509232338927
181,[65953 75698 76782 86344],[42654 34557 68611 42981],1509232338937
182,[65965 75709 76783 86342],[42650 34575 68611 42983],1509232338947
183,[65977 75706 76784 86327],[42647 34587 68614 42973],1509232338957
184,[65993 75697 76787 86294],[42640 34604 68613 42955],1509232338970
185,[66023 75694 76790 86258],[42631 34637 68616 42935],1509232338977
186,[66056 75693 76788 86216],[42620 34681 68619 42917],1509232338987
187,[66085 75691 76787 86183],[42611 34713 68620 42900],1509232338997
188,[66107 75691 76791 86159],[42602 34729 68621 42885],1509232339007
189,[66126 75691 76789 86148],[42595 34742 68623 42877],1509232339017
190,[66138 75694 76790 86136],[42592 34757 68621 42871],1509232339027
191,[66137 75690 76790 86131],[42592 34760 68621 42869],1509232339037
192,[66128 75688 76793 86136],[42594 34749 68619 42871],1509232339047
193,[66124 75690 76791 86146],[42594 34742 68620 42875],1509232339057
194,[66123 75693 76790 86152],[42595 34740 68620 42880],1509232339067
195,[66115 75691 76790 86155],[42597 34736 68618 42882],1509232339080
196,[66106 75689 76789 86159],[42600 34728 68619 42883],1509232339088
197,[66107 75691 76790 86163],[42599 34725 68619 42886],1509232339097
198,[66113 75696 76789 86165],[42599 34729 68620 42888],1509232339107
199,[66112 75694 76789 86163],[42599 34729 68620 42886],1509232339117
200,[66113 75690 76789 86158],[42595 34729 68617 42883],1509232339127
201,[66111 75692 76790 86158],[42599 34731 68620 42884],1509232339137
202,[66116 75693 76790 86157],[42597 34735 68619 42885],1509232339147
203,[66114 75691 76788 86155],[42599 34735 68621 42883],1509232339160
204,[66112 75690 76791 86156],[42600 34732 68619 42883],1509232339167
205,[66111 75692 76788 86158],[42599 34731 68620 42883],1509232339177
206,[66119 75694 76791 86162],[42594 34732 68617 42883],1509232339187
207,[66117 75695 76791 86158],[42598 34734 68619 42884],1509232339198
208,[66113 75691 76792 86157],[42599 34732 68619 42882],1509232339207
209,[66112 75690 76790 86156],[42600 34731 68621 42882],1509232339217
210,[66114 75692 76788 86157],[42599 34734 68621 42883],1509232339227
211,[66113 75693 76790 86160],[42598 34732 68620 42884],1509232339237
212,[66116 75690 76789 86159],[42594 34731 68617 42882],1509232339247
