,x,y,time,ard
134,[51211 60420 61398 70948],[23331 42153 44480 23479],1509850597920,[ 0.8424  1.3804  1.2     1.7   ]
135,[51152 60388 61372 71024],[24482 43314 45615 24720],1509850597920,[ 0.5311  1.1196  1.2     1.7   ]
136,[51151 60413 61405 71041],[25640 44432 46737 25858],1509850597936,[ 0.2304  0.9233  1.2     1.7   ]
137,[51149 60453 61448 71023],[26804 45570 47874 26972],1509850597952,[ 0.2288  0.9092  1.2     1.7   ]
138,[51150 60506 61490 71004],[28019 46773 49072 28145],1509850597952,[ 0.3826  1.0646  1.2     1.7   ]
139,[51149 60553 61558 70965],[29323 48059 50358 29395],1509850597968,[ 0.5851  1.2087  1.2     1.7   ]
140,[51116 60587 61609 70904],[30739 49442 51731 30754],1509850597984,[ 0.7429  1.3158  1.2     1.7   ]
141,[51065 60577 61607 70829],[32282 50959 53240 32249],1509850597984,[ 0.8764  1.4079  1.2     1.7   ]
142,[51030 60532 61575 70773],[33904 52614 54861 33888],1509850598000,[ 0.9654  1.4848  1.2     1.7   ]
143,[51004 60553 61539 70736],[35616 54500 56573 35653],1509850598001,[ 1.0266  1.5444  1.2     1.7   ]
144,[50990 60414 61497 70712],[37433 56264 58381 37528],1509850598016,[ 1.0773  1.5876  1.2     1.7   ]
145,[50974 60394 61459 70684],[39347 58040 60288 39514],1509850598032,[ 1.1156  1.6213  1.2     1.7   ]
146,[51731 60532 61528 69781],[39614 58775 60816 39662],1509850598032,[ 1.1405  1.6444  1.2     1.7   ]
147,[53658 60943 61752 67374],[38998 58830 60874 38578],1509850598048,[ 1.1513  1.6521  1.2     1.7   ]
148,[61485 61998],[58830 60887],1509850598063,[ 1.1526  1.6517  1.2     1.7   ]
149,[61597 62049],[58737 60868],1509850598064,[ 1.1385  1.6367  1.2     1.7   ]
150,[61414 61893],[58506 60790],1509850598079,[ 1.1096  1.617   1.2     1.7   ]
151,[54561 61091 61816 65733],[38625 58662 60817 37925],1509850598080,[ 1.0728  1.5892  1.2     1.7   ]
152,[53543 60955 61720 67454],[38885 58533 60780 38432],1509850598095,[ 1.0345  1.5568  1.2     1.7   ]
153,[52795 60745 61628 68771],[39097 58668 60771 38922],1509850598111,[ 0.9949  1.5215  1.2     1.7   ]
154,[52291 60656 61579 69541],[39267 58587 60753 39313],1509850598112,[ 0.953   1.4848  1.2     1.7   ]
155,[51894 60579 61541 69921],[39431 58463 60737 39553],1509850598127,[ 0.9193  1.4465  1.2     1.7   ]
156,[51601 60493 61519 70178],[39544 58467 60712 39691],1509850598143,[ 0.8902  1.4124  1.2     1.7   ]
157,[51370 60489 61500 70399],[39601 58435 60704 39807],1509850598145,[ 0.8672  1.3926  1.2     1.7   ]
158,[51208 60460 61489 70547],[39653 58623 60715 39877],1509850598159,[ 0.8534  1.3836  1.2     1.7   ]
159,[51156 60447 61482 70616],[39676 58627 60722 39929],1509850598160,[ 0.8472  1.3837  1.2     1.7   ]
160,[51196 60480 61487 70602],[39680 58468 60719 39953],1509850598175,[ 0.8489  1.3867  1.2     1.7   ]
161,[51270 60432 61496 70543],[39673 58474 60728 39926],1509850598191,[ 0.8627  1.3971  1.2     1.7   ]
162,[51367 60459 61499 70463],[39631 58465 60733 39882],1509850598192,[ 0.881   1.4083  1.2     1.7   ]
163,[51478 60519 61511 70365],[39572 58493 60742 39815],1509850598208,[ 0.898   1.4233  1.2     1.7   ]
164,[51617 60524 61525 70206],[39516 58661 60757 39709],1509850598223,[ 0.915  1.439  1.2    1.7  ]
165,[51785 60556 61541 69940],[39459 58663 60766 39575],1509850598224,[ 0.9284  1.4508  1.2     1.7   ]
166,[51998 60617 61559 69633],[39396 58590 60772 39423],1509850598240,[ 0.9425  1.4619  1.2     1.7   ]
167,[52194 60660 61576 69315],[39330 58496 60776 39263],1509850598241,[ 0.95    1.4708  1.2     1.7   ]
168,[52362 60697 61587 69052],[39267 58519 60783 39136],1509850598256,[ 0.9579  1.477   1.2     1.7   ]
169,[52483 60676 61599 68863],[39219 58659 60788 39048],1509850598272,[ 0.9609  1.4803  1.2     1.7   ]
170,[52622 60701 61612 68813],[39165 58667 60792 39010],1509850598272,[ 0.9625  1.4799  1.2     1.7   ]
171,[52765 60733 61622 68890],[39107 58654 60791 39026],1509850598285,[ 0.9624  1.4801  1.2     1.7   ]
172,[52790 60765 61621 68954],[39096 58508 60790 39047],1509850598302,[ 0.9625  1.4803  1.2     1.7   ]
173,[52701 60760 61612 68986],[39125 58516 60782 39064],1509850598302,[ 0.9579  1.4772  1.2     1.7   ]
174,[52541 60684 61600 69043],[39180 58637 60779 39103],1509850598318,[ 0.9546  1.474   1.2     1.7   ]
175,[52397 60663 61592 69130],[39232 58652 60777 39146],1509850598319,[ 0.9503  1.4708  1.2     1.7   ]
176,[52329 60648 61584 69271],[39257 58653 60777 39218],1509850598334,[ 0.9471  1.4678  1.2     1.7   ]
177,[52298 60675 61580 69407],[39270 58537 60773 39282],1509850598350,[ 0.9438  1.4662  1.2     1.7   ]
178,[52260 60663 61579 69509],[39281 58501 60770 39328],1509850598351,[ 0.9425  1.4632  1.2     1.7   ]
179,[52201 60663 61574 69581],[39302 58527 60770 39368],1509850598366,[ 0.9405  1.4616  1.2     1.7   ]
180,[52125 60622 61566 69592],[39329 58593 60769 39380],1509850598381,[ 0.9405  1.4616  1.2     1.7   ]
181,[52076 60607 61564 69579],[39351 58649 60769 39381],1509850598382,[ 0.9405  1.4616  1.2     1.7   ]
182,[52069 60607 61562 69569],[39354 58643 60769 39378],1509850598398,[ 0.9405  1.4616  1.2     1.7   ]
183,[52092 60825 60612 61565 69572],[39350 58033 58643 60770 39377],1509850598399,[ 0.9408  1.4615  1.2     1.7   ]
184,[52117 60617 61569 69570],[39339 58645 60772 39374],1509850598414,[ 0.9408  1.4618  1.2     1.7   ]
185,[52135 60618 61569 69549],[39331 58648 60774 39361],1509850598430,[ 0.9405  1.4616  2.5     3.    ]
186,[52149 60620 61571 69509],[39327 58647 60774 39346],1509850598430,[ 0.9778  1.4938  2.5     3.    ]
187,[52166 60622 61572 69484],[39323 58645 60774 39331],1509850598446,[ 1.0024  1.5262  2.5     3.    ]
188,[52184 60624 61574 69476],[39313 58647 60774 39324],1509850598461,[ 1.0741  1.5876  2.5     3.    ]
189,[52201 60627 61576 69461],[39306 58648 60775 39317],1509850598462,[ 1.1555  1.6612  2.5     3.    ]
190,[52208 60628 61576 69440],[39306 58647 60775 39308],1509850598478,[ 1.2446  1.7502  2.5     3.    ]
191,[52209 60629 61576 69426],[39305 58646 60774 39300],1509850598479,[ 1.3398  1.8376  2.5     3.    ]
192,[52217 60628 61577 69428],[39303 58648 60775 39300],1509850598494,[ 1.4363  1.9234  2.5     3.    ]
193,[52223 60632 61577 69436],[39298 58647 60777 39303],1509850598510,[ 1.5253  2.0173  2.5     3.    ]
194,[52224 60631 61577 69436],[39298 58643 60774 39304],1509850598510,[ 1.6114  2.1076  2.5     3.    ]
195,[52214 60627 61576 69429],[39302 58644 60774 39301],1509850598526,[ 1.6988  2.1996  2.5     3.    ]
196,[52208 60627 61576 69429],[39303 58648 60774 39301],1509850598542,[ 1.7919  2.2902  2.5     3.    ]
197,[52214 60630 61575 69437],[39301 58646 60775 39304],1509850598542,[ 1.875   2.3841  2.5     3.    ]
198,[52126 60592 61555 69590],[39393 58743 60819 39475],1509850598557,[ 1.9621  2.4853  2.5     3.    ]
199,[51917 60615 61588 69748],[39498 58741 60817 39538],1509850598558,[ 2.0551  2.5784  2.5     3.    ]
200,[51555 60556 61572 70095],[39683 58791 60828 39778],1509850598573,[ 2.1528  2.683   2.5     3.    ]
201,[51215 60491 61538 70469],[39819 58788 60820 40009],1509850598589,[ 2.2494  2.7795  2.5     3.    ]
202,[50897 60435 61508 70853],[39953 58793 60816 40256],1509850598590,[ 2.3361  2.9085  2.5     3.    ]
203,[50616 60388 61486 71156],[40078 58804 60811 40463],1509850598606,[ 2.463   3.0086  2.5     3.    ]
204,[50381 60346 61466 71342],[40183 58809 60808 40599],1509850598621,[ 2.5441  3.0989  2.5     3.    ]
205,[50240 60319 61453 71440],[40253 58810 60806 40682],1509850598622,[ 2.5394  3.0805  2.5     3.    ]
206,[50189 60308 61446 71472],[40272 58805 60803 40705],1509850598638,[ 2.472   2.9762  2.5     3.    ]
207,[50219 60316 61448 71415],[40249 58804 60803 40659],1509850598638,[ 2.443  2.917  2.5    3.   ]
208,[50327 60338 61457 71277],[40190 58800 60802 40554],1509850598654,[ 2.4937  2.9457  2.5     3.    ]
209,[50517 60370 61470 71065],[40092 58784 60800 40398],1509850598670,[ 2.5646  3.0232  2.5     3.    ]
210,[50792 60410 61486 70786],[39957 58767 60800 40203],1509850598670,[ 2.573   3.0484  1.2     1.7   ]
211,[51166 60479 61517 70438],[39785 58756 60804 39962],1509850598686,[ 2.4459  2.9307  1.2     1.7   ]
212,[51649 60561 61553 69991],[39573 58754 60812 39674],1509850598701,[ 2.1513  2.6479  1.2     1.7   ]
213,[52251 60672 61597 69430],[39315 58724 60811 39331],1509850598702,[ 1.8017  2.353   1.2     1.7   ]
214,[52994 60791 61647 68753],[39019 58661 60802 38949],1509850598718,[ 1.4793  2.0217  1.2     1.7   ]
215,[53887 60925 61701 67947],[38683 58539 60787 38538],1509850598718,[ 1.1572  1.7394  1.2     1.7   ]
216,[54829 61082 61751 67097],[38341 58341 60702 38046],1509850598734,[ 0.9592  1.5738  1.2     1.7   ]
217,[55220 60963 61598 66707],[37545 57668 60083 37308],1509850598750,[ 0.9147  1.5383  1.2     1.7   ]
218,[54570 60537 61243 67211],[36217 56464 58678 36145],1509850598751,[ 0.967   1.5693  1.2     1.7   ]
219,[53796 60038 60763 67762],[34757 55042 57204 35003],1509850598766,[ 1.0557  1.6167  1.2     1.7   ]
220,[53682 59700 60291 67631],[34008 54402 56574 34444],1509850598783,[ 1.1343  1.6583  1.2     1.7   ]
221,[54198 59460 59976 66921],[33927 54395 56716 34335],1509850598784,[ 1.1896  1.6858  1.2     1.7   ]
222,[54629 59472 59965 66393],[33922 54399 56768 34169],1509850598800,[ 1.2246  1.7012  1.2     1.7   ]
223,[54333 59691 60250 66819],[33437 53744 56132 33573],1509850598800,[ 1.2402  1.7071  1.2     1.7   ]
224,[52676 60127 60912 68728],[31802 51400 53750 31850],1509850598815,[ 1.2416  1.707   1.2     1.7   ]
225,[51022 60610 61641 70680],[29173 47811 50070 28944],1509850598832,[ 1.2354  1.707   1.2     1.7   ]
226,[50257 61059 62222 71551],[26012 44070 46255 25416],1509850598832,[ 1.2278  1.7056  1.2     1.7   ]
227,[50676 61410 62555 71119],[23099 41200 43413 22081],1509850598848,[ 1.22    1.6995  1.2     1.7   ]
228,[51583 61637 62674 70075],[21245 39658 41971 19984],1509850598863,[ 1.2141  1.6966  1.2     1.7   ]
229,[52034 61691 62645 69563],[20838 39384 41754 19498],1509850598864,[ 1.2122  1.698   1.2     1.7   ]
230,[51874 61486 62446 69701],[21384 39899 42281 20177],1509850598880,[ 1.2125  1.6996  1.2     1.7   ]
231,[51533 61160 62152 70075],[22276 40848 43195 21392],1509850598880,[ 1.2125  1.7025  1.2     1.7   ]
232,[51266 60818 61819 70434],[23280 41925 44254 22766],1509850598896,[ 1.2122  1.7039  1.2     1.7   ]
233,[51141 60556 61567 70731],[24279 43019 45332 24150],1509850598916,[ 1.1048  1.5892  1.2     1.7   ]
234,[51114 60396 61399 70889],[25268 44072 46365 25409],1509850598916,[ 0.7779  1.3297  1.2     1.7   ]
235,[51074 60319 61326 70971],[26228 45076 47350 26506],1509850598927,[ 0.4392  1.0522  1.2     1.7   ]
236,[51052 60311 61322 70989],[27188 46040 48305 27483],1509850598943,[ 0.1921  0.8863  1.2     1.7   ]
237,[51069 60354 61362 70963],[28181 47003 49283 28439],1509850598944,[ 0.2121  0.9187  1.2     1.7   ]
238,[51087 60399 61394 70927],[29263 48058 50349 29463],1509850598959,[ 0.3993  1.0751  1.2     1.7   ]
239,[51088 60443 61444 70903],[30459 49211 51523 30603],1509850598960,[ 0.5927  1.2132  1.2     1.7   ]
240,[51094 60492 61502 70888],[31793 50527 52829 31899],1509850598975,[ 0.7507  1.3251  1.2     1.7   ]
241,[51097 60549 61584 70872],[33274 52019 54267 33342],1509850598991,[ 0.8793  1.4172  1.2     1.7   ]
242,[51082 60563 61639 70853],[34848 53804 55783 34907],1509850598992,[ 0.9654  1.4907  1.2     1.7   ]
243,[51052 60512 61650 70827],[36494 55273 57390 36560],1509850599007,[ 1.0282  1.5491  1.2     1.7   ]
244,[51021 60592 61629 70801],[38222 56866 59089 38328],1509850599023,[ 1.0773  1.5907  1.2     1.7   ]
245,[50991 60512 61582 70780],[40000 58825 60825 40212],1509850599024,[ 1.1156  1.623   1.2     1.7   ]
246,[52259 60785 61705 69283],[39386 58720 60776 39261],1509850599039,[ 1.1418  1.6442  1.2     1.7   ]
247,[53908 61109 61916 67037],[38976 58876 60881 38459],1509850599039,[ 1.1526  1.652   1.2     1.7   ]
248,[61553 62102],[58877 60908],1509850599055,[ 1.151   1.6521  1.2     1.7   ]
249,[61607 62104],[58781 60844],1509850599072,[ 1.1326  1.6396  1.2     1.7   ]
250,[55545 61390 62000],[38345 58668 60801],1509850599073,[ 1.1019  1.6184  1.2     1.7   ]
251,[54262 61156 61902 66293],[38767 58738 60812 38131],1509850599087,[ 1.0636  1.5905  1.2     1.7   ]
252,[53351 60987 61812 67698],[38996 58705 60773 38533],1509850599103,[ 1.0253  1.5581  1.2     1.7   ]
253,[52659 60858 61755 68801],[39223 58713 60767 38954],1509850599103,[ 0.9837  1.5231  1.2     1.7   ]
254,[52196 60765 61700 69511],[39373 58698 60752 39293],1509850599119,[ 0.9454  1.4832  1.2     1.7   ]
255,[51823 60699 61666 69921],[39515 58677 60738 39531],1509850599120,[ 0.913   1.4433  1.2     1.7   ]
256,[51572 60645 61640 70186],[39611 58655 60720 39693],1509850599135,[ 0.8843  1.4128  1.2     1.7   ]
