,x,y,time
141,[66162 75736 76695 86222],[42563 34667 68624 42924],1509232253951
142,[66163 75736 76695 86221],[42563 34667 68624 42925],1509232253961
143,[66163 75735 76696 86220],[42563 34668 68623 42923],1509232253972
144,[66163 75735 76694 86219],[42563 34668 68625 42924],1509232253981
145,[66164 75738 76692 86219],[42563 34668 68626 42924],1509232253991
146,[66164 75737 76694 86220],[42563 34667 68625 42924],1509232254001
147,[66162 75737 76695 86220],[42563 34667 68624 42924],1509232254011
148,[66163 75735 76694 86220],[42563 34667 68624 42925],1509232254023
149,[66163 75738 76695 86221],[42563 34668 68624 42924],1509232254031
150,[66163 75737 76696 86220],[42563 34667 68623 42924],1509232254042
151,[66164 75738 76694 86220],[42562 34669 68624 42925],1509232254052
152,[66163 75736 76697 86220],[42563 34669 68623 42924],1509232254061
153,[66163 75737 76695 86220],[42563 34668 68624 42924],1509232254071
154,[66163 75735 76695 86221],[42564 34667 68623 42924],1509232254081
155,[66163 75737 76697 86220],[42563 34668 68622 42924],1509232254092
156,[66164 75737 76696 86220],[42563 34668 68623 42924],1509232254101
157,[66162 75738 76695 86221],[42564 34668 68623 42924],1509232254111
158,[66163 75738 76693 86222],[42564 34668 68625 42925],1509232254121
159,[66163 75734 76695 86220],[42564 34667 68623 42924],1509232254131
160,[66162 75735 76694 86220],[42564 34668 68624 42925],1509232254142
161,[66162 75736 76695 86220],[42563 34667 68625 42924],1509232254151
162,[66165 75738 76695 86222],[42563 34668 68622 42925],1509232254162
163,[66164 75737 76694 86220],[42563 34668 68624 42925],1509232254171
164,[66163 75737 76697 86221],[42563 34668 68623 42925],1509232254181
165,[66163 75736 76697 86219],[42562 34668 68623 42924],1509232254191
166,[66163 75736 76697 86220],[42563 34667 68623 42924],1509232254201
167,[66164 75736 76694 86220],[42563 34668 68625 42924],1509232254211
168,[66163 75736 76694 86219],[42564 34668 68624 42924],1509232254221
169,[66163 75735 76694 86220],[42562 34667 68624 42924],1509232254231
170,[66164 75738 76694 86220],[42563 34668 68624 42924],1509232254241
171,[66116 75735 76699 86270],[42607 34666 68647 42986],1509232254251
172,[65917 75716 76694 86575],[42725 34459 68673 43204],1509232254261
173,[65539 75783 76688 87019],[42887 34034 68678 43487],1509232254271
174,[65130 75797 76663 87428],[43042 33466 68657 43755],1509232254281
175,[64701 75804 76650 87827],[43221 32730 68642 44040],1509232254292
